Date,Value
1990-01-01,164.17
1990-04-01,164.84
1990-07-01,165.83
1990-10-01,165.19
1991-01-01,166.56
1991-04-01,167.68
1991-07-01,167.98
1991-10-01,170.34
1992-01-01,171.66
1992-04-01,171.62
1992-07-01,173.58
1992-10-01,174.46
1993-01-01,174.53
1993-04-01,176.19
1993-07-01,177.61
1993-10-01,179.08
1994-01-01,180.22
1994-04-01,181.32
1994-07-01,182.06
1994-10-01,181.9
1995-01-01,182.87
1995-04-01,185.86
1995-07-01,188.71
1995-10-01,190.2
1996-01-01,192.34
1996-04-01,192.68
1996-07-01,193.53
1996-10-01,195.05
1997-01-01,196.67
1997-04-01,198.32
1997-07-01,201.04
1997-10-01,203.66
1998-01-01,206.69
1998-04-01,208.56
1998-07-01,211.46
1998-10-01,213.97
1999-01-01,216.22
1999-04-01,219.12
1999-07-01,222.23
1999-10-01,224.52
2000-01-01,228.81
2000-04-01,232.54
2000-07-01,236.77
2000-10-01,240.42
2001-01-01,246.34
2001-04-01,250.47
2001-07-01,254.36
2001-10-01,257.51
2002-01-01,261.21
2002-04-01,265.65
2002-07-01,270.92
2002-10-01,274.76
2003-01-01,278.11
2003-04-01,281.49
2003-07-01,285.8
2003-10-01,293.88
2004-01-01,298.47
2004-04-01,305.7
2004-07-01,317.4
2004-10-01,324.16
2005-01-01,331.63
2005-04-01,342.23
2005-07-01,352.54
2005-10-01,360.53
2006-01-01,366.27
2006-04-01,370
2006-07-01,373.08
2006-10-01,376.87
2007-01-01,378.23
2007-04-01,377.98
2007-07-01,373.79
2007-10-01,372.64
2008-01-01,369.98
2008-04-01,360.71
2008-07-01,349.42
2008-10-01,346.25
2009-01-01,348.8
2009-04-01,339.58
2009-07-01,330.58
2009-10-01,328.16
2010-01-01,324.21
2010-04-01,321.32
2010-07-01,324.39
2010-10-01,322.03
2011-01-01,313.19
2011-04-01,307.78
2011-07-01,310.13
2011-10-01,311.5
2012-01-01,308.25
2012-04-01,307.02
2012-07-01,310.98
2012-10-01,313.51
2013-01-01,315.16
2013-04-01,320.16
2013-07-01,325.31
2013-10-01,328.2
2014-01-01,331.12
2014-04-01,337.56
2014-07-01,342.53
2014-10-01,345.41
2015-01-01,348.86
2015-04-01,355.22
2015-07-01,360.9
2015-10-01,364.34
2016-01-01,367.93
2016-04-01,375.33
2016-07-01,381.93
2016-10-01,385.38
2017-01-01,388.91
2017-04-01,399.18